States,Year,Quarter,Trans_Type,Trans_Counts,Amount
"Andaman , Nicobar Islands",2018,1,"Recharge , bill payments",4200,1845307.467
"Andaman , Nicobar Islands",2018,1,Peer to Peer Payments,1871,12138655.3
"Andaman , Nicobar Islands",2018,1,Merchant payments,298,452507.1686
"Andaman , Nicobar Islands",2018,1,Financial Services,33,10601.41993
"Andaman , Nicobar Islands",2018,1,Others,256,184689.8663
"Andaman , Nicobar Islands",2018,2,"Recharge , bill payments",6735,2320944.731
"Andaman , Nicobar Islands",2018,2,Peer to Peer Payments,3575,24511925.23
"Andaman , Nicobar Islands",2018,2,Merchant payments,603,1024491.013
"Andaman , Nicobar Islands",2018,2,Financial Services,59,121336.0271
"Andaman , Nicobar Islands",2018,2,Others,368,359838.5054
"Andaman , Nicobar Islands",2018,3,"Recharge , bill payments",8636,4343504.868
"Andaman , Nicobar Islands",2018,3,Peer to Peer Payments,6448,49270781.54
"Andaman , Nicobar Islands",2018,3,Merchant payments,945,1627359.839
"Andaman , Nicobar Islands",2018,3,Financial Services,42,1481.490704
"Andaman , Nicobar Islands",2018,3,Others,194,314343.3941
"Andaman , Nicobar Islands",2018,4,"Recharge , bill payments",11517,5450549.512
"Andaman , Nicobar Islands",2018,4,Peer to Peer Payments,10451,81001456.98
"Andaman , Nicobar Islands",2018,4,Merchant payments,1421,3552027.735
"Andaman , Nicobar Islands",2018,4,Financial Services,29,76035.78774
"Andaman , Nicobar Islands",2018,4,Others,340,468266.0607
"Andaman , Nicobar Islands",2019,1,"Recharge , bill payments",15263,6611459.873
"Andaman , Nicobar Islands",2019,1,Peer to Peer Payments,13119,91808345.87
"Andaman , Nicobar Islands",2019,1,Merchant payments,1759,3266589.847
"Andaman , Nicobar Islands",2019,1,Financial Services,62,116250.4367
"Andaman , Nicobar Islands",2019,1,Others,283,497094.6484
"Andaman , Nicobar Islands",2019,2,"Recharge , bill payments",14676,7242448.256
"Andaman , Nicobar Islands",2019,2,Peer to Peer Payments,14481,107525358.7
"Andaman , Nicobar Islands",2019,2,Merchant payments,4031,4702152.617
"Andaman , Nicobar Islands",2019,2,Financial Services,124,113278.9137
"Andaman , Nicobar Islands",2019,2,Others,377,671471.2226
"Andaman , Nicobar Islands",2019,3,"Recharge , bill payments",16219,8171737.706
"Andaman , Nicobar Islands",2019,3,Peer to Peer Payments,13767,101079821.1
"Andaman , Nicobar Islands",2019,3,Merchant payments,3519,4428734.575
"Andaman , Nicobar Islands",2019,3,Financial Services,50,158857.9432
"Andaman , Nicobar Islands",2019,3,Others,215,232624.7599
"Andaman , Nicobar Islands",2019,4,Peer to Peer Payments,18128,121493224.3
"Andaman , Nicobar Islands",2019,4,"Recharge , bill payments",13851,9538690.916
"Andaman , Nicobar Islands",2019,4,Merchant payments,2920,5247500.488
"Andaman , Nicobar Islands",2019,4,Financial Services,60,295937.2111
"Andaman , Nicobar Islands",2019,4,Others,200,263177.5944
"Andaman , Nicobar Islands",2020,1,Peer to Peer Payments,18324,142332401.8
"Andaman , Nicobar Islands",2020,1,"Recharge , bill payments",18268,10850414.02
"Andaman , Nicobar Islands",2020,1,Merchant payments,4424,7752871.558
"Andaman , Nicobar Islands",2020,1,Financial Services,66,208231.7307
"Andaman , Nicobar Islands",2020,1,Others,216,332393.192
"Andaman , Nicobar Islands",2020,2,"Recharge , bill payments",38125,17659622.73
"Andaman , Nicobar Islands",2020,2,Peer to Peer Payments,20303,141728757.7
"Andaman , Nicobar Islands",2020,2,Merchant payments,4004,9236375.74
"Andaman , Nicobar Islands",2020,2,Financial Services,175,706932.1397
"Andaman , Nicobar Islands",2020,2,Others,355,313313.0646
"Andaman , Nicobar Islands",2020,3,"Recharge , bill payments",59310,24756220.88
"Andaman , Nicobar Islands",2020,3,Peer to Peer Payments,40697,289078946.7
