States,Year,Quarter,Brand,User_Counts,Percentage
"Andaman , Nicobar Islands",2018,1,Xiaomi,1665,0.247032641
"Andaman , Nicobar Islands",2018,1,Samsung,1445,0.214391691
"Andaman , Nicobar Islands",2018,1,Vivo,982,0.145697329
"Andaman , Nicobar Islands",2018,1,Oppo,501,0.074332344
"Andaman , Nicobar Islands",2018,1,OnePlus,332,0.04925816
"Andaman , Nicobar Islands",2018,1,Realme,316,0.046884273
"Andaman , Nicobar Islands",2018,1,Apple,229,0.033976261
"Andaman , Nicobar Islands",2018,1,Motorola,226,0.033531157
"Andaman , Nicobar Islands",2018,1,Lenovo,202,0.029970326
"Andaman , Nicobar Islands",2018,1,Huawei,158,0.023442136
"Andaman , Nicobar Islands",2018,1,Others,684,0.10148368
"Andaman , Nicobar Islands",2018,2,Xiaomi,2303,0.24486975
"Andaman , Nicobar Islands",2018,2,Samsung,1923,0.20446571
"Andaman , Nicobar Islands",2018,2,Vivo,1523,0.161935141
"Andaman , Nicobar Islands",2018,2,Oppo,708,0.075279107
"Andaman , Nicobar Islands",2018,2,OnePlus,466,0.049548113
"Andaman , Nicobar Islands",2018,2,Realme,465,0.049441786
"Andaman , Nicobar Islands",2018,2,Motorola,319,0.033918129
"Andaman , Nicobar Islands",2018,2,Apple,308,0.032748538
"Andaman , Nicobar Islands",2018,2,Lenovo,244,0.025943647
"Andaman , Nicobar Islands",2018,2,Huawei,230,0.024455077
"Andaman , Nicobar Islands",2018,2,Others,916,0.097395003
"Andaman , Nicobar Islands",2018,3,Xiaomi,2950,0.242818339
"Andaman , Nicobar Islands",2018,3,Samsung,2409,0.198287925
"Andaman , Nicobar Islands",2018,3,Vivo,2063,0.169808215
"Andaman , Nicobar Islands",2018,3,Oppo,988,0.081323566
"Andaman , Nicobar Islands",2018,3,OnePlus,617,0.050786073
"Andaman , Nicobar Islands",2018,3,Realme,603,0.049633715
"Andaman , Nicobar Islands",2018,3,Motorola,390,0.032101408
"Andaman , Nicobar Islands",2018,3,Apple,371,0.030537493
"Andaman , Nicobar Islands",2018,3,Huawei,314,0.025845749
"Andaman , Nicobar Islands",2018,3,Lenovo,299,0.024611079
"Andaman , Nicobar Islands",2018,3,Others,1145,0.09424644
"Andaman , Nicobar Islands",2018,4,Xiaomi,3719,0.244317435
"Andaman , Nicobar Islands",2018,4,Samsung,2936,0.192878728
"Andaman , Nicobar Islands",2018,4,Vivo,2742,0.180134017
"Andaman , Nicobar Islands",2018,4,Oppo,1268,0.083300486
"Andaman , Nicobar Islands",2018,4,Realme,760,0.049927736
"Andaman , Nicobar Islands",2018,4,OnePlus,721,0.047365655
"Andaman , Nicobar Islands",2018,4,Motorola,474,0.031139141
"Andaman , Nicobar Islands",2018,4,Apple,455,0.029890947
"Andaman , Nicobar Islands",2018,4,Huawei,398,0.026146367
"Andaman , Nicobar Islands",2018,4,Lenovo,377,0.024766785
"Andaman , Nicobar Islands",2018,4,Others,1372,0.090132703
"Andaman , Nicobar Islands",2019,1,Xiaomi,4576,0.246074425
"Andaman , Nicobar Islands",2019,1,Samsung,3567,0.191815444
"Andaman , Nicobar Islands",2019,1,Vivo,3420,0.183910518
"Andaman , Nicobar Islands",2019,1,Oppo,1600,0.086040009
"Andaman , Nicobar Islands",2019,1,Realme,897,0.04823618
"Andaman , Nicobar Islands",2019,1,OnePlus,855,0.04597763
"Andaman , Nicobar Islands",2019,1,Motorola,561,0.030167778
"Andaman , Nicobar Islands",2019,1,Apple,515,0.027694128
"Andaman , Nicobar Islands",2019,1,Huawei,515,0.027694128
"Andaman , Nicobar Islands",2019,1,Lenovo,426,0.022908152
"Andaman , Nicobar Islands",2019,1,Others,1664,0.089481609
"Andaman , Nicobar Islands",2019,2,Xiaomi,5296,0.243707146
"Andaman , Nicobar Islands",2019,2,Samsung,4165,0.191661681
"Andaman , Nicobar Islands",2019,2,Vivo,4102,0.188762597
"Andaman , Nicobar Islands",2019,2,Oppo,1905,0.087662786
"Andaman , Nicobar Islands",2019,2,Realme,1012,0.046569417
"Andaman , Nicobar Islands",2019,2,OnePlus,950,0.04371635
"Andaman , Nicobar Islands",2019,2,Huawei,644,0.029635084
"Andaman , Nicobar Islands",2019,2,Motorola,630,0.028990843
"Andaman , Nicobar Islands",2019,2,Apple,569,0.026183793
"Andaman , Nicobar Islands",2019,2,Lenovo,477,0.021950209
"Andaman , Nicobar Islands",2019,2,Others,1981,0.091160094
"Andaman , Nicobar Islands",2019,3,Xiaomi,5819,0.243157411
"Andaman , Nicobar Islands",2019,3,Vivo,4685,0.195771175
"Andaman , Nicobar Islands",2019,3,Samsung,4508,0.188374911
"Andaman , Nicobar Islands",2019,3,Oppo,2108,0.088086582
"Andaman , Nicobar Islands",2019,3,Realme,1158,0.048389119
"Andaman , Nicobar Islands",2019,3,OnePlus,1045,0.04366721
"Andaman , Nicobar Islands",2019,3,Huawei,725,0.030295433
"Andaman , Nicobar Islands",2019,3,Motorola,660,0.02757929
"Andaman , Nicobar Islands",2019,3,Apple,630,0.026325686
"Andaman , Nicobar Islands",2019,3,Lenovo,483,0.020183026
"Andaman , Nicobar Islands",2019,3,Others,2110,0.088170156
"Andaman , Nicobar Islands",2019,4,Xiaomi,6259,0.241101695
"Andaman , Nicobar Islands",2019,4,Vivo,5190,0.199922958
"Andaman , Nicobar Islands",2019,4,Samsung,4900,0.188751926
"Andaman , Nicobar Islands",2019,4,Oppo,2329,0.089714946
"Andaman , Nicobar Islands",2019,4,Realme,1329,0.051194145
"Andaman , Nicobar Islands",2019,4,OnePlus,1124,0.043297381
"Andaman , Nicobar Islands",2019,4,Huawei,798,0.030739599
"Andaman , Nicobar Islands",2019,4,Motorola,682,0.026271186
"Andaman , Nicobar Islands",2019,4,Apple,678,0.026117103
"Andaman , Nicobar Islands",2019,4,Lenovo,488,0.018798151
"Andaman , Nicobar Islands",2019,4,Others,2183,0.084090909
"Andaman , Nicobar Islands",2020,1,Xiaomi,6803,0.239812465
"Andaman , Nicobar Islands",2020,1,Vivo,5880,0.207275804
"Andaman , Nicobar Islands",2020,1,Samsung,5335,0.188064016
"Andaman , Nicobar Islands",2020,1,Oppo,2557,0.090136774
"Andaman , Nicobar Islands",2020,1,Realme,1511,0.053264241
"Andaman , Nicobar Islands",2020,1,OnePlus,1184,0.041737169
"Andaman , Nicobar Islands",2020,1,Huawei,891,0.031408629
"Andaman , Nicobar Islands",2020,1,Apple,735,0.025909475
"Andaman , Nicobar Islands",2020,1,Motorola,715,0.025204456
"Andaman , Nicobar Islands",2020,1,Lenovo,500,0.017625494
"Andaman , Nicobar Islands",2020,1,Others,2257,0.079561478
"Andaman , Nicobar Islands",2020,2,Xiaomi,7805,0.238612045
"Andaman , Nicobar Islands",2020,2,Vivo,7122,0.217731581
"Andaman , Nicobar Islands",2020,2,Samsung,6030,0.184347294
"Andaman , Nicobar Islands",2020,2,Oppo,2976,0.090981351
"Andaman , Nicobar Islands",2020,2,Realme,1761,0.053836747
"Andaman , Nicobar Islands",2020,2,OnePlus,1271,0.038856619
"Andaman , Nicobar Islands",2020,2,Huawei,1005,0.030724549
"Andaman , Nicobar Islands",2020,2,Apple,792,0.024212779
"Andaman , Nicobar Islands",2020,2,Motorola,779,0.023815347
"Andaman , Nicobar Islands",2020,2,Lenovo,552,0.016875573
"Andaman , Nicobar Islands",2020,2,Others,2617,0.080006114
"Andaman , Nicobar Islands",2020,3,Xiaomi,9794,0.236942059
"Andaman , Nicobar Islands",2020,3,Vivo,9556,0.231184226
"Andaman , Nicobar Islands",2020,3,Samsung,7572,0.183186162
"Andaman , Nicobar Islands",2020,3,Oppo,3730,0.090238297
"Andaman , Nicobar Islands",2020,3,Realme,2285,0.055280029
"Andaman , Nicobar Islands",2020,3,OnePlus,1440,0.034837305
"Andaman , Nicobar Islands",2020,3,Huawei,1213,0.029345591
"Andaman , Nicobar Islands",2020,3,Motorola,907,0.021942664
"Andaman , Nicobar Islands",2020,3,Apple,870,0.021047538
"Andaman , Nicobar Islands",2020,3,Lenovo,606,0.014660699
"Andaman , Nicobar Islands",2020,3,Others,3362,0.08133543
"Andaman , Nicobar Islands",2020,4,Xiaomi,12398,0.236621116
"Andaman , Nicobar Islands",2020,4,Vivo,12275,0.234273609
"Andaman , Nicobar Islands",2020,4,Samsung,9938,0.189670967
"Andaman , Nicobar Islands",2020,4,Oppo,4723,0.090140469
"Andaman , Nicobar Islands",2020,4,Realme,2996,0.057179937
"Andaman , Nicobar Islands",2020,4,OnePlus,1638,0.031261928
"Andaman , Nicobar Islands",2020,4,Huawei,1472,0.028093748
"Andaman , Nicobar Islands",2020,4,Motorola,1032,0.01969616
"Andaman , Nicobar Islands",2020,4,Apple,973,0.01857012
"Andaman , Nicobar Islands",2020,4,Lenovo,708,0.013512482
"Andaman , Nicobar Islands",2020,4,Others,4243,0.080979464
"Andaman , Nicobar Islands",2021,1,Vivo,13812,0.239135704
"Andaman , Nicobar Islands",2021,1,Xiaomi,13714,0.237438969
"Andaman , Nicobar Islands",2021,1,Samsung,10861,0.188043215
"Andaman , Nicobar Islands",2021,1,Oppo,5158,0.089303646
"Andaman , Nicobar Islands",2021,1,Realme,3419,0.059195263
"Andaman , Nicobar Islands",2021,1,OnePlus,1773,0.030697046
"Andaman , Nicobar Islands",2021,1,Huawei,1575,0.02726895
"Andaman , Nicobar Islands",2021,1,Motorola,1062,0.018387063
"Andaman , Nicobar Islands",2021,1,Apple,1056,0.018283182
"Andaman , Nicobar Islands",2021,1,Tecno,796,0.013781641
"Andaman , Nicobar Islands",2021,1,Others,4532,0.078465321
"Andaman , Nicobar Islands",2021,2,Vivo,15056,0.242467187
"Andaman , Nicobar Islands",2021,2,Xiaomi,14788,0.23815122
"Andaman , Nicobar Islands",2021,2,Samsung,11476,0.184813592
"Andaman , Nicobar Islands",2021,2,Oppo,5456,0.087865368
"Andaman , Nicobar Islands",2021,2,Realme,4034,0.064964973
"Andaman , Nicobar Islands",2021,2,OnePlus,1981,0.03190273
"Andaman , Nicobar Islands",2021,2,Huawei,1559,0.025106691
"Andaman , Nicobar Islands",2021,2,Apple,1153,0.018568323
"Andaman , Nicobar Islands",2021,2,Motorola,1054,0.016973991
"Andaman , Nicobar Islands",2021,2,Tecno,974,0.015685643
"Andaman , Nicobar Islands",2021,2,Others,4564,0.073500282
"Andaman , Nicobar Islands",2021,3,Vivo,16411,0.245006121
"Andaman , Nicobar Islands",2021,3,Xiaomi,15938,0.237944522
"Andaman , Nicobar Islands",2021,3,Samsung,12028,0.179570631
"Andaman , Nicobar Islands",2021,3,Oppo,5853,0.087381685
"Andaman , Nicobar Islands",2021,3,Realme,4808,0.071780478
"Andaman , Nicobar Islands",2021,3,OnePlus,2306,0.03442716
"Andaman , Nicobar Islands",2021,3,Huawei,1567,0.023394345
"Andaman , Nicobar Islands",2021,3,Apple,1283,0.0191544
"Andaman , Nicobar Islands",2021,3,Tecno,1178,0.017586814
"Andaman , Nicobar Islands",2021,3,Motorola,1017,0.015183184
"Andaman , Nicobar Islands",2021,3,Others,4593,0.068570661
"Andaman , Nicobar Islands",2021,4,Vivo,17597,0.245151853
"Andaman , Nicobar Islands",2021,4,Xiaomi,16968,0.236388966
"Andaman , Nicobar Islands",2021,4,Samsung,12574,0.175174143
"Andaman , Nicobar Islands",2021,4,Oppo,6127,0.085358038
"Andaman , Nicobar Islands",2021,4,Realme,5830,0.081220396
"Andaman , Nicobar Islands",2021,4,OnePlus,2691,0.037489551
"Andaman , Nicobar Islands",2021,4,Apple,1490,0.020757871
"Andaman , Nicobar Islands",2021,4,Huawei,1459,0.020325996
"Andaman , Nicobar Islands",2021,4,Tecno,1417,0.019740875
"Andaman , Nicobar Islands",2021,4,Motorola,1055,0.014697687
"Andaman , Nicobar Islands",2021,4,Others,4572,0.063694622
"Andaman , Nicobar Islands",2022,1,Vivo,18688,0.244966443
"Andaman , Nicobar Islands",2022,1,Xiaomi,17957,0.235384333
"Andaman , Nicobar Islands",2022,1,Samsung,12955,0.169817009
"Andaman , Nicobar Islands",2022,1,Realme,6769,0.088729551
"Andaman , Nicobar Islands",2022,1,Oppo,6461,0.084692219
"Andaman , Nicobar Islands",2022,1,OnePlus,3005,0.039390206
"Andaman , Nicobar Islands",2022,1,Tecno,1770,0.023201552
