States,Year,Quarter,District,Registered_User_Counts
"Andaman, Nicobar Islands",2018,1,North And Middle Andaman District,632
"Andaman, Nicobar Islands",2018,1,South Andaman District,5846
"Andaman, Nicobar Islands",2018,1,Nicobars District,262
"Andaman, Nicobar Islands",2018,2,North And Middle Andaman District,911
"Andaman, Nicobar Islands",2018,2,South Andaman District,8143
"Andaman, Nicobar Islands",2018,2,Nicobars District,351
"Andaman, Nicobar Islands",2018,3,North And Middle Andaman District,1208
"Andaman, Nicobar Islands",2018,3,South Andaman District,10474
"Andaman, Nicobar Islands",2018,3,Nicobars District,467
"Andaman, Nicobar Islands",2018,4,North And Middle Andaman District,1553
"Andaman, Nicobar Islands",2018,4,South Andaman District,13133
"Andaman, Nicobar Islands",2018,4,Nicobars District,536
"Andaman, Nicobar Islands",2019,1,North And Middle Andaman District,2013
"Andaman, Nicobar Islands",2019,1,South Andaman District,15961
"Andaman, Nicobar Islands",2019,1,Nicobars District,622
"Andaman, Nicobar Islands",2019,2,North And Middle Andaman District,2417
"Andaman, Nicobar Islands",2019,2,South Andaman District,18621
"Andaman, Nicobar Islands",2019,2,Nicobars District,693
"Andaman, Nicobar Islands",2019,3,North And Middle Andaman District,2662
"Andaman, Nicobar Islands",2019,3,South Andaman District,20518
"Andaman, Nicobar Islands",2019,3,Nicobars District,751
"Andaman, Nicobar Islands",2019,4,North And Middle Andaman District,2955
"Andaman, Nicobar Islands",2019,4,South Andaman District,22202
"Andaman, Nicobar Islands",2019,4,Nicobars District,803
"Andaman, Nicobar Islands",2020,1,North And Middle Andaman District,3315
"Andaman, Nicobar Islands",2020,1,South Andaman District,24174
"Andaman, Nicobar Islands",2020,1,Nicobars District,879
"Andaman, Nicobar Islands",2020,2,North And Middle Andaman District,4100
"Andaman, Nicobar Islands",2020,2,South Andaman District,27626
"Andaman, Nicobar Islands",2020,2,Nicobars District,984
"Andaman, Nicobar Islands",2020,3,North And Middle Andaman District,5355
"Andaman, Nicobar Islands",2020,3,South Andaman District,34833
"Andaman, Nicobar Islands",2020,3,Nicobars District,1147
"Andaman, Nicobar Islands",2020,4,North And Middle Andaman District,7076
"Andaman, Nicobar Islands",2020,4,South Andaman District,43908
"Andaman, Nicobar Islands",2020,4,Nicobars District,1412
"Andaman, Nicobar Islands",2021,1,North And Middle Andaman District,7833
"Andaman, Nicobar Islands",2021,1,South Andaman District,48352
"Andaman, Nicobar Islands",2021,1,Nicobars District,1573
